;FrameTime
count;1848.0
mean;30.033189938829537
std;0.09235657542573038
min;29.96774193548387
5%;29.993688039454657
10%;29.997440741558158
25%;30.00476591052157
50%;30.013349649736913
75%;30.026813072981923
90%;30.05495010344408
95%;30.135889690567428
99%;30.406702350965578
max;31.584247258225318
ci95_hi;30.037400819252383
ci95_lo;30.02897905840669
iqr;0.02204716246035332
lower_bound;29.97169516683104
upper_bound;30.059883816672453
lower_whisker;29.97518878101402
upper_whisker;30.05935251798561
