;Condition;ConditionId;TrialId;ResultErrorOR
0;Combined Feedback;3;0;1
1;Combined Feedback;3;1;2
2;Combined Feedback;3;2;1
3;Combined Feedback;3;3;0
4;Combined Feedback;3;4;1
5;Combined Feedback;3;5;0
6;Combined Feedback;3;6;1
7;Combined Feedback;3;7;2
8;Combined Feedback;3;8;1
9;Combined Feedback;3;9;0
10;Combined Feedback;3;10;3
11;Combined Feedback;3;11;0
12;Combined Feedback;3;12;1
13;Combined Feedback;3;13;2
14;Combined Feedback;3;14;1
15;Combined Feedback;3;15;1
16;Combined Feedback;3;16;1
17;Combined Feedback;3;17;1
18;Combined Feedback;3;18;1
19;Combined Feedback;3;19;1
20;Combined Feedback;3;20;1
21;No Feedback;0;0;2
22;No Feedback;0;1;3
23;No Feedback;0;2;3
24;No Feedback;0;3;1
25;No Feedback;0;4;2
26;No Feedback;0;5;1
27;No Feedback;0;6;1
28;No Feedback;0;7;0
29;No Feedback;0;8;1
30;No Feedback;0;9;2
31;No Feedback;0;10;3
32;No Feedback;0;11;2
33;No Feedback;0;12;3
34;No Feedback;0;13;1
35;No Feedback;0;14;1
36;No Feedback;0;15;3
37;No Feedback;0;16;3
38;No Feedback;0;17;1
39;No Feedback;0;18;2
40;No Feedback;0;19;1
41;No Feedback;0;20;0
42;Tactile Feedback;1;0;4
43;Tactile Feedback;1;1;2
44;Tactile Feedback;1;2;2
45;Tactile Feedback;1;3;3
46;Tactile Feedback;1;4;3
47;Tactile Feedback;1;5;2
48;Tactile Feedback;1;6;2
49;Tactile Feedback;1;7;4
50;Tactile Feedback;1;8;4
51;Tactile Feedback;1;9;3
52;Tactile Feedback;1;10;4
53;Tactile Feedback;1;11;2
54;Tactile Feedback;1;12;2
55;Tactile Feedback;1;13;2
56;Tactile Feedback;1;14;4
57;Tactile Feedback;1;15;3
58;Tactile Feedback;1;16;3
59;Tactile Feedback;1;17;2
60;Tactile Feedback;1;18;2
61;Tactile Feedback;1;19;3
62;Tactile Feedback;1;20;2
63;Visual Feedback;2;0;0
64;Visual Feedback;2;1;1
65;Visual Feedback;2;2;1
66;Visual Feedback;2;3;2
67;Visual Feedback;2;4;1
68;Visual Feedback;2;5;1
69;Visual Feedback;2;6;2
70;Visual Feedback;2;7;1
71;Visual Feedback;2;8;2
72;Visual Feedback;2;9;1
73;Visual Feedback;2;10;0
74;Visual Feedback;2;11;1
75;Visual Feedback;2;12;2
76;Visual Feedback;2;13;1
77;Visual Feedback;2;14;1
78;Visual Feedback;2;15;0
79;Visual Feedback;2;16;1
80;Visual Feedback;2;17;1
81;Visual Feedback;2;18;3
82;Visual Feedback;2;19;2
83;Visual Feedback;2;20;1
